"activityid" "subjectid" "measure" "meanvalue"
1 1 "tbodyaccelerometer_standarddeviation_x" -0.283740258842105
1 1 "tbodyaccelerometer_standarddeviation_y" 0.114461336747368
1 1 "tbodyaccelerometer_standarddeviation_z" -0.260027902210526
1 1 "tgravityaccelerometer_standarddeviation_x" -0.976609642526316
1 1 "tgravityaccelerometer_standarddeviation_y" -0.971305961473684
1 1 "tgravityaccelerometer_standarddeviation_z" -0.947717226105263
1 1 "tbodyaccelerometerjerk_standarddeviation_x" -0.113615602435789
1 1 "tbodyaccelerometerjerk_standarddeviation_y" 0.0670025007684211
1 1 "tbodyaccelerometerjerk_standarddeviation_z" -0.502699788526316
1 1 "tbodygyroscope_standarddeviation_x" -0.473535485894737
1 1 "tbodygyroscope_standarddeviation_y" -0.0546077686594737
1 1 "tbodygyroscope_standarddeviation_z" -0.344266629473684
1 1 "tbodygyroscopejerk_standarddeviation_x" -0.207421854757895
1 1 "tbodygyroscopejerk_standarddeviation_y" -0.304468510631579
1 1 "tbodygyroscopejerk_standarddeviation_z" -0.404255452631579
1 1 "tbodyaccelerometermag_standarddeviation" -0.219688645631579
1 1 "tgravityaccelerometermag_standarddeviation" -0.219688645631579
1 1 "tbodyaccelerometerjerkmag_standarddeviation" -0.0744717500625263
1 1 "tbodygyroscopemag_standarddeviation" -0.186978364526316
1 1 "tbodygyroscopejerkmag_standarddeviation" -0.325324878894737
1 1 "fbodyaccelerometer_standarddeviation_x" -0.319134719578947
1 1 "fbodyaccelerometer_standarddeviation_y" 0.056040006846
1 1 "fbodyaccelerometer_standarddeviation_z" -0.279686751494737
1 1 "fbodyaccelerometerjerk_standarddeviation_x" -0.133586606326316
1 1 "fbodyaccelerometerjerk_standarddeviation_y" 0.106739857136
1 1 "fbodyaccelerometerjerk_standarddeviation_z" -0.534713440421053
1 1 "fbodygyroscope_standarddeviation_x" -0.516691938736842
1 1 "fbodygyroscope_standarddeviation_y" -0.0335081597884211
1 1 "fbodygyroscope_standarddeviation_z" -0.436562227473684
1 1 "fbodyaccelerometermag_standarddeviation" -0.398032586842105
1 1 "fbodyaccelerometerjerkmag_standarddeviation" -0.103492403002105
1 1 "fbodygyroscopemag_standarddeviation" -0.321017953894737
1 1 "fbodygyroscopejerkmag_standarddeviation" -0.381601911789474
1 1 "tbodyaccelerometer_meanvalue_x" 0.277330758736842
1 1 "tbodyaccelerometer_meanvalue_y" -0.0173838185273684
1 1 "tbodyaccelerometer_meanvalue_z" -0.111148103547368
1 1 "tgravityaccelerometer_meanvalue_x" 0.935223201473684
1 1 "tgravityaccelerometer_meanvalue_y" -0.282165021263158
1 1 "tgravityaccelerometer_meanvalue_z" -0.068102864
1 1 "tbodyaccelerometerjerk_meanvalue_x" 0.0740416333157895
1 1 "tbodyaccelerometerjerk_meanvalue_y" 0.0282721095884211
1 1 "tbodyaccelerometerjerk_meanvalue_z" -0.00416840617789474
1 1 "tbodygyroscope_meanvalue_x" -0.041830963526
1 1 "tbodygyroscope_meanvalue_y" -0.0695300462115789
1 1 "tbodygyroscope_meanvalue_z" 0.0849448173042105
1 1 "tbodygyroscopejerk_meanvalue_x" -0.0899975423705263
1 1 "tbodygyroscopejerk_meanvalue_y" -0.0398428709463158
1 1 "tbodygyroscopejerk_meanvalue_z" -0.0461309295021053
1 1 "tbodyaccelerometermag_meanvalue" -0.136971176556842
1 1 "tgravityaccelerometermag_meanvalue" -0.136971176556842
1 1 "tbodyaccelerometerjerkmag_meanvalue" -0.141428809031579
1 1 "tbodygyroscopemag_meanvalue" -0.160979552536842
1 1 "tbodygyroscopejerkmag_meanvalue" -0.298703679084211
1 1 "fbodyaccelerometer_meanvalue_x" -0.202794306326316
1 1 "fbodyaccelerometer_meanvalue_y" 0.0897127264021053
1 1 "fbodyaccelerometer_meanvalue_z" -0.331560117789474
1 1 "fbodyaccelerometerjerk_meanvalue_x" -0.170546964549579
1 1 "fbodyaccelerometerjerk_meanvalue_y" -0.0352255241130632
1 1 "fbodyaccelerometerjerk_meanvalue_z" -0.468999224631579
1 1 "fbodygyroscope_meanvalue_x" -0.339032197115789
1 1 "fbodygyroscope_meanvalue_y" -0.103059416434737
1 1 "fbodygyroscope_meanvalue_z" -0.255940940315789
1 1 "fbodyaccelerometermag_meanvalue" -0.128623450629474
1 1 "fbodyaccelerometerjerkmag_meanvalue" -0.0571194000343158
1 1 "fbodygyroscopemag_meanvalue" -0.199252568986316
1 1 "fbodygyroscopejerkmag_meanvalue" -0.319308593778947
1 2 "tbodyaccelerometer_standarddeviation_x" -0.423642838474576
1 2 "tbodyaccelerometer_standarddeviation_y" -0.0780912533118644
1 2 "tbodyaccelerometer_standarddeviation_z" -0.425257524915254
1 2 "tgravityaccelerometer_standarddeviation_x" -0.972693201355932
1 2 "tgravityaccelerometer_standarddeviation_y" -0.972116879661017
1 2 "tgravityaccelerometer_standarddeviation_z" -0.972072847627119
1 2 "tbodyaccelerometerjerk_standarddeviation_x" -0.277530462620339
1 2 "tbodyaccelerometerjerk_standarddeviation_y" -0.0166022362847458
1 2 "tbodyaccelerometerjerk_standarddeviation_z" -0.586090418983051
1 2 "tbodygyroscope_standarddeviation_x" -0.561550255762712
1 2 "tbodygyroscope_standarddeviation_y" -0.53845366779661
1 2 "tbodygyroscope_standarddeviation_z" -0.481085535084746
1 2 "tbodygyroscopejerk_standarddeviation_x" -0.389549831525424
1 2 "tbodygyroscopejerk_standarddeviation_y" -0.634140436101695
1 2 "tbodygyroscopejerk_standarddeviation_z" -0.435492677288136
1 2 "tbodyaccelerometermag_standarddeviation" -0.422544169322034
1 2 "tgravityaccelerometermag_standarddeviation" -0.422544169322034
1 2 "tbodyaccelerometerjerkmag_standarddeviation" -0.164150985127119
1 2 "tbodygyroscopemag_standarddeviation" -0.553019916271186
1 2 "tbodygyroscopejerkmag_standarddeviation" -0.557798151355932
1 2 "fbodyaccelerometer_standarddeviation_x" -0.457651383728814
1 2 "fbodyaccelerometer_standarddeviation_y" -0.16921968620339
1 2 "fbodyaccelerometer_standarddeviation_z" -0.455222146440678
1 2 "fbodyaccelerometerjerk_standarddeviation_x" -0.31431306340678
1 2 "fbodyaccelerometerjerk_standarddeviation_y" -0.0153329520084746
1 2 "fbodyaccelerometerjerk_standarddeviation_z" -0.615898188474576
1 2 "fbodygyroscope_standarddeviation_x" -0.604053019152542
1 2 "fbodygyroscope_standarddeviation_y" -0.533046952542373
1 2 "fbodygyroscope_standarddeviation_z" -0.559856635084746
1 2 "fbodyaccelerometermag_standarddeviation" -0.577105211694915
1 2 "fbodyaccelerometerjerkmag_standarddeviation" -0.164091969449153
1 2 "fbodygyroscopemag_standarddeviation" -0.651792839661017
1 2 "fbodygyroscopejerkmag_standarddeviation" -0.558104554745763
1 2 "tbodyaccelerometer_meanvalue_x" 0.276426586440678
1 2 "tbodyaccelerometer_meanvalue_y" -0.0185949199145763
